# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 721K of event 'cycles'
# Event count (approx.): 64064804027726
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     0.57%     0.00%  iou-wrk-3391     [kernel.vmlinux]    [k] io_issue_sqe
     0.57%     0.01%  iou-wrk-3461     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3393     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3397     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3400     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3429     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3391     [kernel.vmlinux]    [k] io_read
     0.57%     0.01%  iou-wrk-3446     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3412     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3462     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3462     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3415     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3415     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3459     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3388     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3426     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3384     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3462     [kernel.vmlinux]    [k] io_read
     0.56%     0.00%  iou-wrk-3459     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3388     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3403     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3384     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3392     [kernel.vmlinux]    [k] io_wq_submit_work
